void,dirt,2,grass,tree,pole,water,sky,vehicle,object,asphalt,11,building,13,14,log,16,person,fence,dice
0.0,0.95623416,0.7879966,0.0,0.0,0.9447914,0.78539824,0.0,0.0,0.7074708,0.0,0.0,0.0,0.88062835,0.8966318,0.6858607,0.0,0.0,0.0,0.9615803
0.0,0.92892724,0.9342054,0.0,0.0,0.99531597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8341438,0.0,0.0,0.0,0.6083965,0.92546815,0.96617013
0.0,0.8678998,0.9426106,0.0,0.0,0.9953695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6742627,0.0,0.0,0.0,0.57969916,0.9079244,0.9401181
0.0,0.7233649,0.7865856,0.28329623,0.0,0.97338617,0.8056872,0.47619048,0.0,0.0,0.0,0.0,0.0,0.7645741,0.81288105,0.7664532,0.0,0.8780791,0.0,0.91545224
0.0,0.93910205,0.90567255,0.75395036,0.0,0.96195126,0.68972796,0.0,0.0,0.0,0.0,0.0,0.0,0.87894154,0.9009976,0.0,0.5794057,0.4475229,0.0,0.95717186
0.0,0.7461189,0.73138714,0.7537594,0.0,0.96106774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7056102,0.7944215,0.0,0.7097528,0.7062739,0.0,0.888513
0.0,0.9655453,0.4799882,0.6812816,0.0,0.975734,0.8301887,0.43533447,0.5603382,0.7116105,0.0,0.0,0.0,0.9185931,0.9215008,0.7017544,0.0,0.0,0.0,0.97062933
0.0,0.96233886,0.5058836,0.5984064,0.0,0.96138746,0.8126442,0.76830494,0.0,0.727907,0.0,0.0,0.0,0.8951015,0.9031663,0.83812153,0.0,0.0,0.0,0.96201867
0.0,0.9881807,0.8479074,0.0,0.0,0.9886648,0.66717017,0.0,0.0,0.7165725,0.0,0.0,0.0,0.9047264,0.92429036,0.73900086,0.0,0.0,0.0,0.9855347
0.0,0.87540376,0.87349975,0.0,0.0,0.97114724,0.72128516,0.6783632,0.0,0.77295494,0.0,0.9412145,0.6420964,0.7612638,0.0,0.0,0.6321329,0.5831312,0.0,0.9306293
0.0,0.9021696,0.915986,0.7839864,0.0,0.9921726,0.84100544,0.8733629,0.0,0.7256579,0.0,0.0,0.0,0.10451603,0.9163511,0.885952,0.0,0.0,0.0,0.94509465
0.0,0.9231141,0.89274156,0.0,0.0,0.99050355,0.0,0.0,0.0,0.0,0.84250474,0.0,0.0,0.8042253,0.0,0.0,0.0,0.0,0.8535624,0.9627114
0.0,0.89021087,0.8292608,0.0,0.0,0.95602375,0.53810626,0.6678824,0.0,0.0,0.0,0.88913083,0.47486222,0.77858686,0.0,0.0,0.4568082,0.703507,0.0,0.93054515
0.0,0.8513792,0.90690243,0.0,0.0,0.97097653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85330486,0.0,0.0,0.51111114,0.6077269,0.0,0.9319106
0.0,0.9777478,0.9084254,0.0,0.0,0.97386986,0.7337071,0.0,0.0,0.0,0.0,0.0,0.0,0.88571995,0.0,0.0,0.0,0.0,0.0,0.9728685
0.0,0.89477026,0.7906152,0.6920821,0.0,0.8064377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79512954,0.48170057,0.0,0.63182795,0.77018446,0.0,0.9016363
0.0,0.86367077,0.8832292,0.0,0.0,0.99414825,0.0,0.0,0.0,0.0,0.0,0.79265636,0.0,0.76324785,0.0,0.0,0.0,0.73846555,0.87546635,0.94911546
0.0,0.9499034,0.85521144,0.0,0.0,0.98333186,0.630613,0.0,0.0,0.5580829,0.0,0.0,0.0,0.62541795,0.9261404,0.62287796,0.0,0.0,0.0,0.962171
0.0,0.8073217,0.74832594,0.3761118,0.0,0.98514795,0.5488959,0.48331016,0.0,0.0,0.0,0.0,0.0,0.84618324,0.23813404,0.6269184,0.0,0.9142806,0.0,0.9471684
0.0,0.96047884,0.56094974,0.7615473,0.0,0.9470347,0.7742604,0.90436244,0.0,0.77837837,0.0,0.0,0.0,0.84670305,0.9166104,0.8555674,0.0,0.0,0.0,0.9583086
0.0,0.79098177,0.8017343,0.5733333,0.0,0.96115154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7558638,0.83245283,0.0,0.8066201,0.73470247,0.0,0.9033698
0.0,0.89467555,0.88080317,0.0,0.0,0.9931458,0.0,0.0,0.0,0.0,0.8038674,0.0,0.0,0.7846603,0.0,0.0,0.0,0.69489276,0.8498507,0.9488971
0.0,0.7338282,0.94546485,0.0,0.0,0.8133486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963359,0.0,0.0,0.0,0.58354276,0.0,0.907487
0.0,0.9621818,0.9005911,0.0,0.0,0.99014705,0.0,0.0,0.0,0.0,0.6599507,0.0,0.0,0.83555174,0.0,0.0,0.0,0.42796934,0.70155317,0.9679796
0.0,0.9697135,0.58906496,0.7097027,0.0,0.9597116,0.76281494,0.7869335,0.0,0.65936255,0.0,0.0,0.0,0.9056196,0.8987171,0.78152245,0.0,0.0,0.0,0.9669162
0.0,0.9682744,0.9268853,0.0,0.0,0.992786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7872519,0.0,0.0,0.0,0.51550794,0.6004619,0.9556845
0.0,0.73202556,0.7664794,0.0,0.0,0.98405784,0.7309353,0.4812239,0.0,0.5752427,0.0,0.0,0.0,0.69123745,0.61683965,0.73900336,0.0,0.7745734,0.0,0.90798134
0.0,0.78758734,0.73049754,0.0,0.0,0.89836264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7842032,0.68605745,0.0,0.6306041,0.82055295,0.0,0.8966116
0.0,0.93444663,0.92956984,0.0,0.0,0.9838003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8357266,0.0,0.0,0.0,0.1988377,0.0,0.96350914
0.0,0.9624913,0.8883022,0.0,0.0,0.9914277,0.0,0.0,0.0,0.0,0.7975791,0.0,0.0,0.82750493,0.0,0.0,0.0,0.0,0.81840223,0.9715751
0.0,0.87876713,0.8702901,0.0,0.0,0.9869236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8691407,0.0,0.9669524,0.0,0.77576536,0.0,0.954645
